sexenio,año_relativo,Exportaciones,Importaciones,Exportaciones netas
2000-2006,3,4397039.772,1094725.78,3302313.9919999996
2000-2006,4,4650390.372,1128153.969,3522236.4030000004
2000-2006,5,4946718.464,1167183.816,3779534.6479999996
2000-2006,6,5377008.045,1231318.114,4145689.931
2006-2012,1,5512481.811,1226031.247,4286450.563999999
2006-2012,2,5399195.69,1278244.553,4120951.137
2006-2012,3,4853672.814,1123812.25,3729860.5640000002
2006-2012,4,5973904.281,1117820.258,4856084.023
2006-2012,5,6528687.605,1125335.575,5403352.03
2006-2012,6,7045608.343,1140752.793,5904855.550000001
2012-2018,1,7235959.975,1130864.675,6105095.3
2012-2018,2,7783883.51,1158660.834,6625222.676
2012-2018,3,8331048.136,1220760.451,7110287.6850000005
2012-2018,4,8586587.022,1248193.436,7338393.586
2012-2018,5,8861144.766,1272504.39,7588640.376000001
2012-2018,6,9439522.364,1303024.833,8136497.5309999995
2018-2024,1,9549423.23,1308297.938,8241125.292
2018-2024,2,8879184.286,1127075.024,7752109.262
2018-2024,3,9508331.859,1255235.325,8253096.533999999
2018-2024,4,10412237.642,1333412.008,9078825.634000001
2018-2024,5,9660548.476,1389790.386,8270758.09
