Concept,Weight
Total Subyacente,76.74153825
Mercancías Total,37.53379198
"Alimentos, bebidas y tabaco",17.21479067
Mercancías no alimenticias,20.31900131
Servicios Total,39.20774627
Educación (Colegiaturas),2.520684629
Vivienda,18.05498972
Otros servicios,18.63207191
Total No subyacente,23.25846175
Total Agropecuarios,10.65768322
Frutas y verduras,4.778893345
Pecuarios,5.87878988
Energéticos y tarifas autorizadas por el gobierno Total,12.60077852
Energéticos,8.045800833
Tarifas autorizadas por el gobierno,4.554977691
