"date","date_shortcut","gdppc"
2025-04-01,"Q2",196326.181601369
2025-01-01,"Q1",195317.831272545
2024-10-01,"Q4",194969.974974757
2024-07-01,"Q3",196377.585407892
2024-04-01,"Q2",194986.471308111
2024-01-01,"Q1",195085.060470274
2023-10-01,"Q4",195125.186202875
2023-07-01,"Q3",194660.749907053
2023-04-01,"Q2",193875.994044636
2023-01-01,"Q1",192659.612029889
2022-10-01,"Q4",191418.153916687
2022-07-01,"Q3",189261.12319432
2022-04-01,"Q2",188193.997791241
2022-01-01,"Q1",186515.532933371
2021-10-01,"Q4",184132.762070391
2021-07-01,"Q3",182279.59731201
2021-04-01,"Q2",184384.11946439
2021-01-01,"Q1",183137.636798269
2020-10-01,"Q4",182231.362222212
2020-07-01,"Q3",175128.090990024
2020-04-01,"Q2",151999.204603509
2020-01-01,"Q1",188030.257682897
2019-10-01,"Q4",190781.105361575
2019-07-01,"Q3",192741.516393847
2019-04-01,"Q2",193328.751413639
2019-01-01,"Q1",194461.546205486
2018-10-01,"Q4",195090.694753135
2018-07-01,"Q3",196111.588966315
2018-04-01,"Q2",195977.565165792
2018-01-01,"Q1",197331.236402358
2017-10-01,"Q4",195438.773443241
2017-07-01,"Q3",193295.544629858
2017-04-01,"Q2",195032.971208441
2017-01-01,"Q1",195320.117056475
2016-10-01,"Q4",194785.085996314
2016-07-01,"Q3",193181.311099832
2016-04-01,"Q2",192036.93538451
2016-01-01,"Q1",191832.26660775
2015-10-01,"Q4",192519.467106662
2015-07-01,"Q3",193634.972079889
2015-04-01,"Q2",191949.554109797
2015-01-01,"Q1",190779.980660031
2014-10-01,"Q4",190416.821528714
2014-07-01,"Q3",189347.618214648
2014-04-01,"Q2",189604.240393398
2014-01-01,"Q1",187703.930120743
2013-10-01,"Q4",187023.174761842
2013-07-01,"Q3",186642.104977925
2013-04-01,"Q2",186056.543666582
2013-01-01,"Q1",187346.380434874
2012-10-01,"Q4",187698.8842563
2012-07-01,"Q3",186782.577648575
2012-04-01,"Q2",186974.071947271
2012-01-01,"Q1",186267.210602281
2011-10-01,"Q4",185012.476273444
2011-07-01,"Q3",184213.783730886
2011-04-01,"Q2",181496.384947459
2011-01-01,"Q1",181268.072851984
2010-10-01,"Q4",180574.9153095
2010-07-01,"Q3",179627.146580177
2010-04-01,"Q2",178591.187815688
2010-01-01,"Q1",177146.233432347
2009-10-01,"Q4",177043.26477711
2009-07-01,"Q3",173893.118210082
2009-04-01,"Q2",168430.279994054
2009-01-01,"Q1",171826.04131267
2008-10-01,"Q4",183768.972604212
2008-07-01,"Q3",187399.308517812
2008-04-01,"Q2",187860.918489045
2008-01-01,"Q1",187228.487917801
2007-10-01,"Q4",187832.909625091
2007-07-01,"Q3",188028.052431918
2007-04-01,"Q2",187996.183270444
2007-01-01,"Q1",187414.225111333
2006-10-01,"Q4",186748.658221586
2006-07-01,"Q3",186730.785454107
2006-04-01,"Q2",186904.856726722
2006-01-01,"Q1",185938.281152167
2005-10-01,"Q4",182988.114465262
2005-07-01,"Q3",180278.812460125
2005-04-01,"Q2",179050.183357699
2005-01-01,"Q1",179669.434657634
